title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,loudness,liveness,speechiness,instrumentalness,track_popularity
Die With A Smile,"Lady Gaga, Bruno Mars",pop,happy,0.592,157.969,0.535,0.521,0.308,-7.777,0.122,0.0304,0.0,100
APT.,"ROSÉ, Bruno Mars",pop,happy,0.783,149.027,0.939,0.777,0.0283,-4.477,0.355,0.26,0.0,98
BIRDS OF A FEATHER,Billie Eilish,pop,intense,0.507,104.978,0.438,0.747,0.2,-10.171,0.117,0.0358,0.0608,97
"Good Luck, Babe!",Chappell Roan,pop,happy,0.582,116.712,0.785,0.7,0.0502,-5.96,0.0881,0.0356,0.0,94
That’s So True,Gracie Abrams,pop,intense,0.808,108.548,0.372,0.554,0.214,-4.169,0.159,0.0368,0.0,93
WILDFLOWER,Billie Eilish,pop,sad,0.247,148.101,0.126,0.467,0.612,-12.002,0.17,0.0431,0.000271,93
Tu Boda,"Oscar Maydon, Fuerza Regida",pop,intense,0.651,112.648,0.471,0.694,0.496,-6.968,0.0787,0.0784,1.36e-05,93
Si Antes Te Hubiera Conocido,KAROL G,pop,happy,0.668,128.027,0.787,0.924,0.446,-6.795,0.0678,0.0469,0.000594,93
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",pop,happy,0.722,119.973,0.57,0.769,0.0584,-5.485,0.111,0.0507,2.56e-06,92
Who,Jimin,pop,happy,0.756,116.034,0.838,0.66,0.00289,-3.743,0.193,0.032,0.0,92
"I Love You, I'm Sorry",Gracie Abrams,pop,sad,0.406,115.94,0.338,0.53,0.656,-7.507,0.133,0.033,0.0,90
Espresso,Sabrina Carpenter,pop,happy,0.76,103.969,0.69,0.701,0.107,-5.478,0.185,0.0285,6.54e-05,90
Sweater Weather,The Neighbourhood,pop,intense,0.807,124.053,0.398,0.612,0.0495,-2.81,0.101,0.0336,0.0177,90
I Wanna Be Yours,Arctic Monkeys,pop,sad,0.417,67.528,0.479,0.464,0.136,-9.345,0.0974,0.0256,0.022,90
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",pop,happy,0.559,78.558,0.62,0.558,0.371,-9.222,0.109,0.0959,7.49e-06,90
